Iteration  Interval Start  Interval End    Approximate Root     Function Value      
1          0.0000          3.1416          1.5708               1.5708              
2          0.0000          1.5708          0.7854               0.0783              
3          0.0000          0.7854          0.3927               -0.5312             
4          0.3927          0.7854          0.5890               -0.2424             
5          0.5890          0.7854          0.6872               -0.0858             
6          0.6872          0.7854          0.7363               -0.0046             
7          0.7363          0.7854          0.7609               0.0366              
8          0.7363          0.7609          0.7486               0.0159              
9          0.7363          0.7486          0.7424               0.0056              
10         0.7363          0.7424          0.7394               0.0005              
11         0.7363          0.7394          0.7378               -0.0021             
12         0.7378          0.7394          0.7386               -0.0008             
13         0.7386          0.7394          0.7390               -0.0002             
14         0.7390          0.7394          0.7392               0.0002              
15         0.7390          0.7392          0.7391               0.0000              
